date,party,votes
2019-03-05,PSOE,28.356715860299772
2019-03-05,PP,19.53577317068609
2019-03-05,Cs,16.131658173942522
2019-03-05,UP,12.276332512844284
2019-03-05,VOX,11.398997621580033
2019-03-05,ERC,3.193686223189867
2019-03-05,PAC,1.6645855449467348
2019-03-05,PDC,1.396594000306657
2019-03-05,PNV,1.1792456622182155
2019-03-05,COM,0.8746276852165151
2019-03-05,BIL,0.8169667664822956
2019-03-05,MAR,0.3108421929448584
2019-03-05,CC,0.277422841429175
2019-03-03,PSOE,28.30515346194553
2019-03-03,PP,19.64740010420236
2019-03-03,Cs,16.03585231273373
2019-03-03,UP,12.306261419661352
2019-03-03,VOX,11.523350242044552
2019-03-03,ERC,3.1923071809646
2019-03-03,PAC,1.6639742459309979
2019-03-03,PDC,1.393210745307802
2019-03-03,PNV,1.2037068413525858
2019-03-03,COM,0.874627685216515
2019-03-03,BIL,0.8169497591429663
2019-03-03,MAR,0.3108421929448583
2019-03-03,CC,0.2774303334318315
2019-03-01,PSOE,28.261825182095333
2019-03-01,PP,19.653158771997933
2019-03-01,Cs,16.01282549293307
2019-03-01,UP,12.33017553071605
2019-03-01,VOX,11.584757846831357
2019-03-01,ERC,3.198548766434961
2019-03-01,PAC,1.6639914449227764
2019-03-01,PDC,1.3901511489996954
2019-03-01,PNV,1.2055407862661127
2019-03-01,COM,0.874627685216515
2019-03-01,BIL,0.8168459248294053
2019-03-01,MAR,0.3108421929448583
2019-03-01,CC,0.27676645641511555
2019-02-27,PSOE,27.98754549452036
2019-02-27,PP,19.77027210070138
2019-02-27,Cs,16.223887534886618
2019-02-27,UP,12.366779182997961
2019-02-27,VOX,11.510694886182451
2019-02-27,ERC,3.236201963508723
2019-02-27,PAC,1.664011157038476
2019-02-27,PDC,1.3871374357932533
2019-02-27,PNV,1.2236187283159634
2019-02-27,COM,0.8746276852165149
2019-02-27,BIL,0.8167304091019703
2019-02-27,MAR,0.3108421929448583
2019-02-27,CC,0.27645682640050107
2019-02-25,PSOE,27.89584594424925
2019-02-25,PP,19.884270919701063
2019-02-25,Cs,16.237356382671884
2019-02-25,UP,12.406408599247962
2019-02-25,VOX,11.556905391864055
2019-02-25,ERC,3.2320970517822945
2019-02-25,PAC,1.6640337411499042
2019-02-25,PDC,1.3914065025314744
2019-02-25,PNV,1.2255971843386666
2019-02-25,COM,0.8746276852165149
2019-02-25,BIL,0.8134564228752592
2019-02-25,MAR,0.3108421929448583
2019-02-25,CC,0.27347570640722824
2019-02-23,PSOE,27.538774960979534
2019-02-23,PP,20.053485527083744
2019-02-23,Cs,16.31370228822545
2019-02-23,UP,12.513774715473168
2019-02-23,VOX,11.577878960867642
2019-02-23,ERC,3.2570760686036344
2019-02-23,PAC,1.6360655759587543
2019-02-23,PDC,1.3606272475193293
2019-02-23,PNV,1.2415739023635062
2019-02-23,COM,0.874627685216515
2019-02-23,BIL,0.7867478135423699
2019-02-23,MAR,0.3108421929448584
2019-02-23,CC,0.2963531654231275
2019-02-21,PSOE,27.065794046360324
2019-02-21,PP,20.148283183620155
2019-02-21,Cs,16.380590464779534
2019-02-21,UP,12.630459429973808
2019-02-21,VOX,11.851416809759343
2019-02-21,ERC,3.2515856250207924
2019-02-21,PAC,1.6355140824407826
2019-02-21,PDC,1.3598021323148672
2019-02-21,PNV,1.239557410703112
2019-02-21,COM,0.8766998929643615
2019-02-21,BIL,0.7787101272585
2019-02-21,MAR,0.31191149459872425
2019-02-21,CC,0.2921309437713939
2019-02-19,PSOE,26.872526203610647
2019-02-19,PP,20.17016340439989
2019-02-19,Cs,16.449730896447615
2019-02-19,UP,12.792723344989538
2019-02-19,VOX,11.775273184273772
2019-02-19,ERC,3.2564857381091423
2019-02-19,PAC,1.6778771470688696
2019-02-19,PDC,1.3654604853681178
2019-02-19,PNV,1.23666248586913
2019-02-19,COM,0.876651465994919
2019-02-19,BIL,0.7792453809174457
2019-02-19,MAR,0.3117802204867082
2019-02-19,CC,0.2922825835069495
2019-02-17,PSOE,26.733434619989826
2019-02-17,PP,20.215713190750495
2019-02-17,Cs,16.612293814814816
2019-02-17,UP,12.764591646021461
2019-02-17,VOX,11.569993019272662
2019-02-17,ERC,3.2146757588570734
2019-02-17,PAC,1.7122232409013076
2019-02-17,PDC,1.387138602977927
2019-02-17,PNV,1.2153049712774395
2019-02-17,COM,0.9762301921773232
2019-02-17,BIL,0.7714098618631806
2019-02-17,MAR,0.36705734533221684
2019-02-17,CC,0.3235881185205418
2019-02-15,PSOE,26.677004534981027
2019-02-15,PP,20.257735141557884
2019-02-15,Cs,16.643631048363613
2019-02-15,UP,12.779046061115427
2019-02-15,VOX,11.53728244809585
2019-02-15,ERC,3.1971763443506878
2019-02-15,PAC,1.709165189822187
2019-02-15,PDC,1.3922113480619451
2019-02-15,PNV,1.2101037726147479
2019-02-15,COM,0.9762301921773234
2019-02-15,BIL,0.7642127330185936
2019-02-15,MAR,0.3670573453322168
2019-02-15,CC,0.32109443909311164
2019-02-13,PSOE,26.559836961402826
2019-02-13,PP,20.316293503021853
2019-02-13,Cs,16.689123808098362
2019-02-13,UP,12.864061914360768
2019-02-13,VOX,11.477249614532276
2019-02-13,ERC,3.168298650363772
2019-02-13,PAC,1.699566107735582
2019-02-13,PDC,1.4047692512070664
2019-02-13,PNV,1.2245664463091797
2019-02-13,COM,0.9762301921773233
2019-02-13,BIL,0.7547612482919676
2019-02-13,MAR,0.36705734533221684
2019-02-13,CC,0.3151867632844615
2019-02-11,PSOE,26.514895056913495
2019-02-11,PP,20.311234536549446
2019-02-11,Cs,16.708777865589408
2019-02-11,UP,12.894457505476614
2019-02-11,VOX,11.45763876930062
2019-02-11,ERC,3.1616740087802344
2019-02-11,PAC,1.6821643371769606
2019-02-11,PDC,1.4095731657921369
2019-02-11,PNV,1.2267440179155358
2019-02-11,COM,0.9727077813935834
2019-02-11,BIL,0.7547222079103615
2019-02-11,MAR,0.36463328866096
2019-02-11,CC,0.31424257476700757
2019-02-09,PSOE,26.432538932584492
2019-02-09,PP,20.319489852351193
2019-02-09,Cs,16.78366333915526
2019-02-09,UP,12.796900728015013
2019-02-09,VOX,11.420353679616877
2019-02-09,ERC,3.154205773099324
2019-02-09,PAC,1.6635216512297946
2019-02-09,PDC,1.4153384639613227
2019-02-09,PNV,1.2291910507834813
2019-02-09,COM,1.0970721977892994
2019-02-09,BIL,0.7545801445110392
2019-02-09,MAR,0.34901839549397573
2019-02-09,CC,0.313213376677393
2019-02-07,PSOE,26.33736606655157
2019-02-07,PP,20.30828376091816
2019-02-07,Cs,16.84307582439536
2019-02-07,UP,13.075104309966024
2019-02-07,VOX,11.386803965869321
2019-02-07,ERC,3.172285279808226
2019-02-07,PAC,1.6433414069661234
2019-02-07,PDC,1.421720580513873
2019-02-07,PNV,1.2251367408042841
2019-02-07,COM,0.9482602004630156
2019-02-07,BIL,0.7545066573283072
2019-02-07,CC,0.3121001409283203
2019-02-07,MAR,0.24061024726289482
2019-02-05,PSOE,26.254124302758793
2019-02-05,PP,20.31735631721997
2019-02-05,Cs,16.90516680952377
2019-02-05,UP,12.945638192524507
2019-02-05,VOX,11.360741565757097
2019-02-05,ERC,3.165474174837637
2019-02-05,PAC,1.6301080449928045
2019-02-05,PDC,1.4252964899243434
2019-02-05,PNV,1.2283145851698136
2019-02-05,COM,1.1109153708943422
2019-02-05,BIL,0.7531647118108592
2019-02-05,CC,0.31105994037441403
2019-02-05,MAR,0.24061024726289482
2019-02-03,PSOE,26.069349307841165
2019-02-03,PP,20.363527662308496
2019-02-03,Cs,17.033344835314058
2019-02-03,UP,13.384146658794688
2019-02-03,VOX,11.343835346818846
2019-02-03,ERC,3.1400109331114026
2019-02-03,PAC,1.5540929994906059
2019-02-03,PDC,1.4353751688632268
2019-02-03,PNV,1.227677504858366
2019-02-03,COM,0.9
2019-02-03,BIL,0.7317995269094435
2019-02-03,CC,0.309900402301756
2019-02-03,MAR,0.1
2019-02-01,PSOE,25.809071745854506
2019-02-01,PP,20.43860601900714
2019-02-01,Cs,17.06871829748322
2019-02-01,UP,13.371880326000712
2019-02-01,VOX,11.385938773824444
2019-02-01,ERC,3.1238832126506106
2019-02-01,PAC,1.5535961929771298
2019-02-01,PDC,1.42870824263831
2019-02-01,PNV,1.2099729383741875
2019-02-01,COM,0.9
2019-02-01,BIL,0.7360797849657258
2019-02-01,CC,0.26793332615104776
2019-02-01,MAR,0.1
2019-01-30,PSOE,25.775428458915627
2019-01-30,PP,20.519755726092807
2019-01-30,Cs,17.097851953213627
2019-01-30,UP,13.389058215817153
2019-01-30,VOX,11.313328937575571
2019-01-30,ERC,3.1049845780524286
2019-01-30,PAC,1.5530261716295293
2019-01-30,PDC,1.4327161985458357
2019-01-30,PNV,1.2103861819276385
2019-01-30,COM,0.9
2019-01-30,BIL,0.7289703512166301
2019-01-30,CC,0.2641284242079095
2019-01-30,MAR,0.1
2019-01-28,PSOE,25.739293761255265
2019-01-28,PP,20.606388706564363
2019-01-28,Cs,17.380366943348797
2019-01-28,UP,13.407736049282372
2019-01-28,VOX,11.235577308980298
2019-01-28,ERC,3.0856121154436513
2019-01-28,PAC,1.552372282841639
2019-01-28,PDC,1.4368246422301023
2019-01-28,PNV,1.2108097863550353
2019-01-28,COM,0.9
2019-01-28,BIL,0.7219189997385561
2019-01-28,CC,0.26026526362969815
2019-01-28,MAR,0.1
2019-01-26,PSOE,25.284746111520896
2019-01-26,PP,20.533833422730726
2019-01-26,Cs,17.40857807687133
2019-01-26,UP,13.795670120258627
2019-01-26,VOX,11.09868961856171
2019-01-26,ERC,3.0659787268655134
2019-01-26,PAC,1.5516223675766325
2019-01-26,PDC,1.4410261531698687
2019-01-26,PNV,1.211254562613875
2019-01-26,COM,0.9
2019-01-26,BIL,0.7150117419818044
2019-01-26,CC,0.2563786248116715
2019-01-26,MAR,0.1
2019-01-24,PSOE,25.145349934083193
2019-01-24,PP,20.651199276781913
2019-01-24,Cs,17.647524822671183
2019-01-24,UP,14.93823528298207
2019-01-24,VOX,10.756388204370152
2019-01-24,ERC,2.983209987968283
2019-01-24,PAC,1.5810679313323683
2019-01-24,PDC,1.4658393716968594
2019-01-24,PNV,1.2072564727472364
2019-01-24,BIL,0.7044610448134937
2019-01-24,CC,0.24239084291785837
2019-01-24,COM,0
2019-01-24,MAR,0
2019-01-22,PSOE,24.614444651915434
2019-01-22,PP,20.673798349346978
2019-01-22,Cs,17.992272492922975
2019-01-22,UP,15.20589187590951
2019-01-22,VOX,10.694751459539873
2019-01-22,ERC,3.0043421015883984
2019-01-22,PAC,1.5809117577720584
2019-01-22,PDC,1.4727681670466253
2019-01-22,PNV,1.2237028043357696
2019-01-22,BIL,0.721095107286099
2019-01-22,CC,0.24123900734057407
2019-01-22,COM,0
2019-01-22,MAR,0
2019-01-20,PSOE,24.56701821724487
2019-01-20,PP,20.75449521093409
2019-01-20,Cs,18.188832195308517
2019-01-20,UP,15.274081611457312
2019-01-20,VOX,10.484200634918743
2019-01-20,ERC,3.0024338239309216
2019-01-20,PAC,1.472644693167956
2019-01-20,PDC,1.4585645383626815
2019-01-20,PNV,1.2115945862172788
2019-01-20,BIL,0.7110620395044365
2019-01-20,CC,0.2408427260907585
2019-01-20,COM,0
2019-01-20,MAR,0
2019-01-18,PSOE,24.479551767999077
2019-01-18,PP,20.68889206274226
2019-01-18,Cs,18.26546188147769
2019-01-18,UP,15.369632704491295
2019-01-18,VOX,10.465253847885835
2019-01-18,ERC,3.0084837749026265
2019-01-18,PDC,1.45556348481655
2019-01-18,PAC,1.4484221311198258
2019-01-18,PNV,1.2162727001477605
2019-01-18,BIL,0.7168907156033251
2019-01-18,CC,0.2434254088214273
2019-01-18,COM,0
2019-01-18,MAR,0
2019-01-16,PSOE,24.40012848933018
2019-01-16,PP,20.623321423058727
2019-01-16,Cs,18.335524904024535
2019-01-16,UP,15.45777307737056
2019-01-16,VOX,10.452612679235735
2019-01-16,ERC,3.0144131588291296
2019-01-16,PDC,1.4526703837230979
2019-01-16,PAC,1.424891426882224
2019-01-16,PNV,1.2208833101659866
2019-01-16,BIL,0.7227101562618804
2019-01-16,CC,0.2459727730851589
2019-01-16,COM,0
2019-01-16,MAR,0
2019-01-14,PSOE,24.33711190325219
2019-01-14,PP,20.552507915556642
2019-01-14,Cs,18.355058417708822
2019-01-14,UP,15.551870689006748
2019-01-14,VOX,10.456330993166732
2019-01-14,ERC,3.0202729446040615
2019-01-14,PDC,1.4497633637900043
2019-01-14,PAC,1.402239109208963
2019-01-14,PNV,1.2254282863992438
2019-01-14,BIL,0.7284641197553106
2019-01-14,CC,0.24846588734262176
2019-01-14,COM,0
2019-01-14,MAR,0
2019-01-12,PSOE,24.27602403514666
2019-01-12,PP,20.500163762877463
2019-01-12,Cs,18.385046700025143
2019-01-12,UP,15.631137005025325
2019-01-12,VOX,10.438404247589052
2019-01-12,ERC,3.0254541520017506
2019-01-12,PDC,1.4479550082199177
2019-01-12,PAC,1.3806219031073028
2019-01-12,PNV,1.2300657216939463
2019-01-12,BIL,0.7340780437297441
2019-01-12,CC,0.25090868758310325
2019-01-12,COM,0
2019-01-12,MAR,0
2019-01-10,PSOE,24.22268967576588
2019-01-10,PP,20.46144188245961
2019-01-10,Cs,18.423907523163468
2019-01-10,UP,15.693511328867613
2019-01-10,VOX,10.405184383438868
2019-01-10,ERC,3.0308887026796083
2019-01-10,PDC,1.4451504940270452
2019-01-10,PAC,1.3601636669465054
2019-01-10,PNV,1.234006330594012
2019-01-10,BIL,0.7394919697704959
2019-01-10,CC,0.25328086313499837
2019-01-10,COM,0
2019-01-10,MAR,0
2019-01-08,PSOE,24.177977574133596
2019-01-08,PP,20.4273294350193
2019-01-08,Cs,18.45422687379424
2019-01-08,UP,15.749538220227063
2019-01-08,VOX,10.372745047910053
2019-01-08,ERC,3.0360122336240787
2019-01-08,PDC,1.4426313734224332
2019-01-08,PAC,1.3409543579488783
2019-01-08,PNV,1.2379754595299506
2019-01-08,BIL,0.7446525715479404
2019-01-08,CC,0.25553876627126826
2019-01-08,COM,0
2019-01-08,MAR,0
2019-01-06,PSOE,24.13511328104725
2019-01-06,PP,20.39487572582581
2019-01-06,Cs,18.484078430498695
2019-01-06,UP,15.802754456645427
2019-01-06,VOX,10.342569215503666
2019-01-06,ERC,3.040755170932801
2019-01-06,PDC,1.4405221488026787
2019-01-06,PAC,1.321801935583252
2019-01-06,PNV,1.2415426594626175
2019-01-06,BIL,0.7492930400181137
2019-01-06,CC,0.2576771019750213
2019-01-06,COM,0
2019-01-06,MAR,0
2019-01-04,PSOE,24.012491735891853
2019-01-04,PP,20.378870647407417
2019-01-04,Cs,18.59089995419986
2019-01-04,UP,15.883167308280004
2019-01-04,VOX,10.294300408903286
2019-01-04,ERC,3.0287630134260723
2019-01-04,PDC,1.4298553134657581
2019-01-04,PAC,1.3353804342850437
2019-01-04,PNV,1.2451092979100962
2019-01-04,BIL,0.7551153430834923
2019-01-04,CC,0.2585647660522492
2019-01-04,COM,0
2019-01-04,MAR,0
2019-01-02,PSOE,23.955315561050348
2019-01-02,PP,20.356690473919492
2019-01-02,Cs,18.603769794540302
2019-01-02,UP,15.972444888391637
2019-01-02,VOX,10.263329335305883
2019-01-02,ERC,3.0393386767259263
2019-01-02,PDC,1.4271848145647679
2019-01-02,PAC,1.3493754753626004
2019-01-02,PNV,1.2531238650860168
2019-01-02,BIL,0.7607980179220168
2019-01-02,CC,0.25943464031925856
2019-01-02,COM,0
2019-01-02,MAR,0
2018-12-31,PSOE,23.668452057597804
2018-12-31,PP,20.18219493818419
2018-12-31,Cs,19.04259136795287
2018-12-31,UP,16.298694702236702
2018-12-31,VOX,10.059453133697497
2018-12-31,ERC,3.0509988334030624
2018-12-31,PDC,1.4453517677191328
2018-12-31,PNV,1.2544402142107414
2018-12-31,PAC,1.243572225350888
2018-12-31,BIL,0.7734938374172039
2018-12-31,CC,0.26017473347831194
2018-12-31,COM,0
2018-12-31,MAR,0
2018-12-29,PSOE,23.689212554126673
2018-12-29,PP,20.208085025526373
2018-12-29,Cs,19.101806020282112
2018-12-29,UP,16.26107400414354
2018-12-29,VOX,10.026382814157488
2018-12-29,ERC,3.0583423077731524
2018-12-29,PDC,1.4404525259359164
2018-12-29,PAC,1.2702864839221564
2018-12-29,PNV,1.2480331261599749
2018-12-29,BIL,0.7727943229344255
2018-12-29,CC,0.25851735796510256
2018-12-29,COM,0
2018-12-29,MAR,0
2018-12-27,PSOE,23.573831200471886
2018-12-27,PP,20.13271755602252
2018-12-27,Cs,19.40659132708937
2018-12-27,UP,16.29663505061465
2018-12-27,VOX,9.904260322672085
2018-12-27,ERC,3.0655548556429255
2018-12-27,PDC,1.4356065233178494
2018-12-27,PAC,1.2963031019530833
2018-12-27,PNV,1.2416995497592387
2018-12-27,BIL,0.7720576101285946
2018-12-27,CC,0.25673723968141887
2018-12-27,COM,0
2018-12-27,MAR,0
2018-12-25,PSOE,23.587030491128566
2018-12-25,PP,20.140613327693718
2018-12-25,Cs,19.464079361647748
2018-12-25,UP,16.273738248451274
2018-12-25,VOX,9.888938221340087
2018-12-25,ERC,3.0725988325325715
2018-12-25,PDC,1.430873781010254
2018-12-25,PAC,1.3214096380157914
2018-12-25,PNV,1.235514001101383
2018-12-25,BIL,0.771314385704996
2018-12-25,CC,0.25483925972979243
2018-12-25,COM,0
2018-12-25,MAR,0
2018-12-23,PSOE,23.608618304291596
2018-12-23,PP,20.15902235802765
2018-12-23,Cs,19.530370515558012
2018-12-23,UP,16.258143092200974
2018-12-23,VOX,9.841871283549061
2018-12-23,ERC,3.0707564671466323
2018-12-23,PDC,1.4333796590068637
2018-12-23,PAC,1.3455314015388964
2018-12-23,PNV,1.2300243802682056
2018-12-23,BIL,0.7705677597773719
2018-12-23,CC,0.2528219844740052
2018-12-23,COM,0
2018-12-23,MAR,0
2018-12-21,PSOE,23.708473799862496
2018-12-21,PP,20.592616619347876
2018-12-21,Cs,19.650875288381922
2018-12-21,UP,16.32373810725067
2018-12-21,VOX,9.321620569646642
2018-12-21,ERC,3.048453108003635
2018-12-21,PDC,1.460662752007043
2018-12-21,PAC,1.357231129064114
2018-12-21,PNV,1.2239212186905435
2018-12-21,BIL,0.7160313155775667
2018-12-21,CC,0.2843268067678046
2018-12-21,COM,0
2018-12-21,MAR,0
2018-12-19,PSOE,23.911604724193626
2018-12-19,PP,20.8735671457524
2018-12-19,Cs,19.647374697212946
2018-12-19,UP,16.43685343350827
2018-12-19,VOX,8.806271212383646
2018-12-19,ERC,3.038243443745693
2018-12-19,PDC,1.470549662773217
2018-12-19,PAC,1.3578522183291
2018-12-19,PNV,1.2163139812148691
2018-12-19,BIL,0.7174715220146397
2018-12-19,CC,0.28593821375160877
2018-12-19,COM,0
2018-12-19,MAR,0
2018-12-17,PSOE,23.927447020903777
2018-12-17,PP,20.887176867113727
2018-12-17,Cs,19.654258106579636
2018-12-17,UP,16.442535572513375
2018-12-17,VOX,8.794072080203865
2018-12-17,ERC,3.0282650658406576
2018-12-17,PDC,1.4802655413822745
2018-12-17,PAC,1.3583938956302815
2018-12-17,PNV,1.2087399002467307
2018-12-17,BIL,0.7178207826681041
2018-12-17,CC,0.2874627805166842
2018-12-17,COM,0
2018-12-17,MAR,0
2018-12-15,PSOE,23.93545718887059
