date,party,votes
2019-04-08,PSOE,29.278042978270157
2019-04-08,PP,19.942421383156606
2019-04-08,Cs,15.518822107072806
2019-04-08,UP,12.385287210582586
2019-04-08,VOX,10.697772269043346
2019-04-08,ERC,3.027646454774107
2019-04-08,PDC,1.3490321034791029
2019-04-08,PAC,1.3251865705617127
2019-04-08,PNV,1.2725749971493427
2019-04-08,COM,0.8353732362769879
2019-04-08,BIL,0.7992300373180861
2019-04-08,MAR,0.34466150402003226
2019-04-08,CC,0.32295102615999594
2019-04-06,PSOE,29.193165155741664
2019-04-06,PP,19.89388113933887
2019-04-06,Cs,15.569726166923255
2019-04-06,UP,12.39874803001086
2019-04-06,VOX,10.760328411783592
2019-04-06,ERC,3.0396740209902946
2019-04-06,PDC,1.3389801666636425
2019-04-06,PAC,1.3223380542432992
2019-04-06,PNV,1.2683366193313186
2019-04-06,COM,0.8541239190604305
2019-04-06,BIL,0.8027565962450124
2019-04-06,MAR,0.357205133344519
2019-04-06,CC,0.3240284473537557
2019-04-04,PSOE,29.277939476162384
2019-04-04,PP,19.903964573282302
2019-04-04,Cs,15.67874763176465
2019-04-04,UP,12.326819289892656
2019-04-04,VOX,10.540074741834253
2019-04-04,ERC,3.059004650371185
2019-04-04,PDC,1.3201668709518504
2019-04-04,PNV,1.2680013730241249
2019-04-04,PAC,1.1847236321033567
2019-04-04,BIL,0.823870298633813
2019-04-04,COM,0.8014365976566878
2019-04-04,MAR,0.35080457172199037
2019-04-04,CC,0.32404092241186344
2019-04-02,PSOE,29.217191125028982
2019-04-02,PP,19.904059429588827
2019-04-02,Cs,15.698342816960688
2019-04-02,UP,12.327996750626957
2019-04-02,VOX,10.58863274105864
2019-04-02,ERC,3.061597547863667
2019-04-02,PDC,1.324319534013899
2019-04-02,PNV,1.266262717019735
2019-04-02,PAC,1.1957234624700501
2019-04-02,BIL,0.8241940771735577
2019-04-02,COM,0.8038841553488196
2019-04-02,MAR,0.35020953694123275
2019-04-02,CC,0.3250718263646179
2019-03-31,PSOE,28.966524041856566
2019-03-31,PP,20.03132534543031
2019-03-31,Cs,15.602419094133912
2019-03-31,UP,12.417391250525151
2019-03-31,VOX,10.69585219101621
2019-03-31,ERC,3.1336963731051135
2019-03-31,PAC,1.3933800914542547
2019-03-31,PDC,1.3098123490278788
2019-03-31,PNV,1.2300646260703902
2019-03-31,BIL,0.8372823557339938
2019-03-31,COM,0.7938036433849959
2019-03-31,MAR,0.347657245540552
2019-03-31,CC,0.3266345441313279
2019-03-29,PSOE,28.894972580433112
2019-03-29,PP,20.047193914949688
2019-03-29,Cs,15.629553084701667
2019-03-29,UP,12.426890881106777
2019-03-29,VOX,10.728421100018089
2019-03-29,ERC,3.14065176962584
2019-03-29,PAC,1.407927356093215
2019-03-29,PDC,1.3101590739991686
2019-03-29,PNV,1.22761143398256
2019-03-29,BIL,0.8426943841048086
2019-03-29,COM,0.8092569201794825
2019-03-29,MAR,0.3584126439200167
2019-03-29,CC,0.3281547394721533
2019-03-27,PSOE,28.85807710949763
2019-03-27,PP,20.010440725459837
2019-03-27,Cs,15.651189034697966
2019-03-27,UP,12.46286756004227
2019-03-27,VOX,10.778078676352413
2019-03-27,ERC,3.1531043259513636
2019-03-27,PAC,1.4151109696077384
2019-03-27,PDC,1.3071171061614784
2019-03-27,PNV,1.225244341430809
2019-03-27,BIL,0.8508708023504709
2019-03-27,COM,0.8003517283928493
2019-03-27,MAR,0.3561074217711081
2019-03-27,CC,0.33021734897369526
2019-03-25,PSOE,28.88731191807419
2019-03-25,PP,19.787671265196764
2019-03-25,Cs,15.835645269951243
2019-03-25,UP,12.457945538455956
2019-03-25,VOX,10.837103404959175
2019-03-25,ERC,3.1224715067330098
2019-03-25,PAC,1.4621646004178976
2019-03-25,PDC,1.3214946534984657
2019-03-25,PNV,1.2435185021780155
2019-03-25,BIL,0.8514919553497073
2019-03-25,COM,0.8183366078855097
2019-03-25,MAR,0.3574087435997665
2019-03-25,CC,0.3331630871880008
2019-03-23,PSOE,28.860409804601353
2019-03-23,PP,19.833511615606405
2019-03-23,Cs,15.716307149937892
2019-03-23,UP,12.265918258146622
2019-03-23,VOX,11.088731470652881
2019-03-23,ERC,3.13788850643673
2019-03-23,PAC,1.4819154499547453
2019-03-23,PDC,1.3488842827744736
2019-03-23,PNV,1.2269848254819142
2019-03-23,BIL,0.8753317644913412
2019-03-23,COM,0.8572163979009071
2019-03-23,MAR,0.3459210047178036
2019-03-23,CC,0.3359298201939502
2019-03-21,PSOE,28.827343845046936
2019-03-21,PP,19.798633147495075
2019-03-21,Cs,15.746324638655397
2019-03-21,UP,12.022668532425758
2019-03-21,VOX,11.122098792676335
2019-03-21,ERC,3.1870010625898124
2019-03-21,PAC,1.5116531750424695
2019-03-21,PDC,1.3762886874483369
2019-03-21,PNV,1.2426634460286756
2019-03-21,COM,0.8668289689872117
2019-03-21,BIL,0.8514570224987568
2019-03-21,MAR,0.34441247905423317
2019-03-21,CC,0.33841101249066446
2019-03-19,PSOE,28.82763496781388
2019-03-19,PP,19.77736221724346
2019-03-19,Cs,15.735852000119772
2019-03-19,UP,12.002730573671121
2019-03-19,VOX,11.130262481699157
2019-03-19,ERC,3.20509658449332
2019-03-19,PAC,1.5207873320508325
2019-03-19,PDC,1.376671430404237
2019-03-19,PNV,1.2394096858854613
2019-03-19,COM,0.8721503897382179
2019-03-19,BIL,0.8504926962694505
2019-03-19,MAR,0.3409396073454811
2019-03-19,CC,0.34043941539742445
2019-03-17,PSOE,28.84331924242265
2019-03-17,PP,19.75313889030714
2019-03-17,Cs,15.726518881472925
2019-03-17,UP,11.987525423285856
2019-03-17,VOX,11.134094237443499
2019-03-17,ERC,3.2168121084439174
2019-03-17,PAC,1.4881060128627714
2019-03-17,PDC,1.3769026599550607
2019-03-17,PNV,1.2371756571660384
2019-03-17,COM,0.8726093271924348
2019-03-17,BIL,0.8491265684813089
2019-03-17,CC,0.34126604730188514
2019-03-17,MAR,0.3351785466783328
2019-03-15,PSOE,28.642821390231504
2019-03-15,PP,19.680023352001342
2019-03-15,Cs,15.950850753557626
2019-03-15,UP,12.061319847222562
2019-03-15,VOX,11.149644295758566
2019-03-15,ERC,3.2153901342206392
2019-03-15,PAC,1.6469640230167204
2019-03-15,PDC,1.4008351266338204
2019-03-15,PNV,1.193162572531004
2019-03-15,COM,0.873118317492358
2019-03-15,BIL,0.8370619208098341
2019-03-15,MAR,0.32889014855492293
2019-03-15,CC,0.31850102072373315
2019-03-13,PSOE,28.64579200243996
2019-03-13,PP,19.68393751110076
2019-03-13,Cs,15.963521659115948
2019-03-13,UP,12.062152485616469
2019-03-13,VOX,11.144651174654966
2019-03-13,ERC,3.2119420646583565
2019-03-13,PAC,1.6453121693002943
2019-03-13,PDC,1.3999546951963597
2019-03-13,PNV,1.190278262467731
2019-03-13,COM,0.8736802792484013
2019-03-13,BIL,0.8333599228811872
2019-03-13,MAR,0.32206760656881656
2019-03-13,CC,0.31559126763833084
2019-03-11,PSOE,28.648347481668527
2019-03-11,PP,19.640349631503017
2019-03-11,Cs,15.988588082745249
2019-03-11,UP,12.070873590911395
2019-03-11,VOX,11.142558419942295
2019-03-11,ERC,3.218182459694145
2019-03-11,PAC,1.6436722127640873
2019-03-11,PDC,1.399991956046902
2019-03-11,PNV,1.1884439417237538
2019-03-11,COM,0.8742976441337348
2019-03-11,BIL,0.8354398682237655
2019-03-11,MAR,0.3147140365726785
2019-03-11,CC,0.31325206517535736
2019-03-09,PSOE,28.508155838194668
2019-03-09,PP,19.503960574310963
2019-03-09,Cs,16.125710073923205
2019-03-09,UP,12.167778067363482
2019-03-09,VOX,11.301448867074582
2019-03-09,ERC,3.2189856879821686
2019-03-09,PAC,1.6451873995389468
2019-03-09,PDC,1.4001396494942029
2019-03-09,PNV,1.1850004958735079
2019-03-09,COM,0.874627685216515
2019-03-09,BIL,0.8374298341092001
2019-03-09,MAR,0.3108421929448583
2019-03-09,CC,0.28643374439404007
2019-03-07,PSOE,28.392245599168138
2019-03-07,PP,19.529193175020882
2019-03-07,Cs,16.13310704637543
2019-03-07,UP,12.271422273534004
2019-03-07,VOX,11.351083152314716
2019-03-07,ERC,3.1989136571971124
2019-03-07,PAC,1.654517484363313
2019-03-07,PDC,1.398905903654389
2019-03-07,PNV,1.1812319531793314
2019-03-07,COM,0.8746276852165149
2019-03-07,BIL,0.8192868752822026
2019-03-07,MAR,0.3108421929448584
2019-03-07,CC,0.2804521636464198
